job_id,category,job_title,job_description,job_skill_set
3902668440,hr,sr human resource generalist,summary the sr hr generalist provides hr expertise across various functions including employee relations talent acquisition performance management payroll compensation and benefits the sr hr generalist has responsibilities that are strategic administrative and consultative this role provides consultative hr business partner support to assigned business units across all aspects of the employee life cycle this role also supports hr operations with weekly payroll processing the sr hr generalist is also responsible for developing and implementing hr solutions that align with the companys goals ensuring a high level of employee engagement and fostering a positive and inclusive workplace culture key responsibilities  consult with assigned business partners on all aspects of hr  facilitate and communicate organizational policies and programs to assigned business partners and ensure labor law and regulatory compliance partner with business leaders in assigned areas to understand organizational goals and develop hr strategies that align with business objectives contribute to the creation and implementation of policies and procedures governing employees assist in designing and implementing performance management frameworks and processes to drive employee engagement and productivity and achieve business goals train and partner with leaders on supervisory responsibilities conduct investigations into employee complaints or grievances ensuring fair and consistent resolution in accordance with company policies and legal requirements navigate complex hr related situations and contribute to decision making collaborate with hiring managers in assigned business units to identify staffing needs and develop recruitment strategies to attract top talent conduct recruitment including sourcing screening and selection for selected roles create and revise job descriptions to align with organizational needs partner with learning and development to support the development and implementation of employee development programs and training initiatives support hr operations in the administration of health welfare and 401k plans identify opportunities to improve the employee experience and develop and implement solutions process weekly payroll as needed ensure compliance with federal state and local payroll regulations and company policies assist in the development and implementation of hr policies and procedures ensuring compliance with applicable laws and regulations seek out learning and professional development opportunities to stay current with hr trends and ensure compliance with employment laws and regulations  participate in hr audits and assessments to identify areas for improvement and ensure hr practices are consistent and equitable qualifications  indepth knowledge of employment laws and regulations including but not limited to fmla ada flsa erisa and eeoc guidelinesstrong analytical skills with the ability to interpret data and generate actionable insights demonstrated ability to build strong relationships and influence stakeholders at all levels of the organizationknowledge of payroll processingskill in detail orientation and accuracy in processing payroll dataknowledge of performance management frameworks and processes skills in job design and writing job descriptionsskills in salary administrationskill in employee benefits administration  excellent communication and interpersonal skills with the ability to collaborate effectively with crossfunctional teams ability to influence and manage change  proficiency in administering hr actions including payroll in a human capital management system demonstrated ability to handle confidential information with discretion and professionalism high degree of intellectual curiosity and drive to continuously learn and develop education bachelors degree in human resources business administration or a related field required licenses and certifications current hr certification eg shrmcp or scp phr or sphr required experience  minimum of six 6 years of experience in hr roles with a focus on hr generalist responsibilities andor hr business partner roles required payroll administration experience required experience administering dayforce or similar hcms preferred other manage people no,"['employee relations', 'talent acquisition', 'performance management', 'compensation and benefits', 'employment laws and regulations', 'analytical skills', 'employee benefits administration', 'hr policies and procedures', 'recruitment strategies', 'fmla', 'ada', 'communication', 'interpersonal skills', 'collaboration', 'influence', 'change management', 'professional development', 'payroll processing', 'job design', 'salary administration', 'human capital management system', 'hr audits and assessments', 'flsa', 'erisa', 'eeoc guidelines', 'confidentiality', 'intellectual curiosity']"
3905823748,hr,human resources manager,be part of a stellar team at ysb as the manager of human resources join us as ysb enters a new and vibrant era with the completion of the ysb center for youth success this summer as part of the senior leadership team at ysb the hr manager will develop lead and coordinate all activities under the human resources umbrella this role is responsible for planning developing leading and coordinating all activities under the human resources umbrella including but not limited to talent acquisition compensation and benefit structure employee experience performance management and policy must have a thorough understanding of federal and state legal compliance dutiesresponsibilitiescollaborate with leadership to identify proper staffing levels create a recruitment strategy by developing and executing best practices in talent acquisitionensure all onboarding activities follow legal and organizational policy including preemployment screening orientation required paperworkdevelop and maintain employee performance tools for productivity recognition engagement performance review investigations and disciplinary mattersparticipate in employee health and safety using training and development platformsimplement and monitor the organizations compliance of federal state and local employment laws and regulations recommend best practices review and modify policies and practices as applicable to maintain complianceprocess payroll and all required activitiescreate a system for personnel records and document retentionfacilitate and maintain professional development training and certification activities for staffassign technology assets to staffcollect and maintain documents required to create a driver record for all staffresponsible for administration of benefit package and point of contact for staffassist adminfinance director in offboarding of staffassist during audits with personnel process and documentationcoordinate with leadership to attract and onboard interns and volunteersconduct background checks for interns and volunteers as neededensure all agency handbooks operation manuals and program manuals follow regulatory and agency guidelinesact as liaison to ensure best practices regulatory changes employment law trends etc are communicated to upper managementperforms other duties as required educationbachelors required experience microsoft office 3 years requiredhuman resources 2 years required licensecertification shrm cp preferred,"['talent acquisition', 'employee performance management', 'legal compliance', 'payroll processing', 'microsoft office', 'policy development', 'training and development', 'background checks', 'collaboration', 'communication', 'problem solving', 'leadership', 'organizational skills', 'attention to detail', 'adaptability', 'shrm-cp certification']"
3905854799,hr,director of human resources,our client is a thriving organization offering a unique opportunity for a director of human resources to join its dynamic team with a strong focus on employee ownership exceptional benefits and a familyoriented environment our client is committed to providing a rewarding and fulfilling work experience as the company continues to grow and expand there are ample opportunities for career advancement within the organization top reasons to join our client1 employee ownership our client is 33 esop employee owned offering the chance to thrive from the companys success with a short 3year vesting period2 great benefits enjoy 100 paid health premiums for individuals and families 401k matching vehiclegas benefits bonuses and more3 security the company has a strong outlook for the future of the market particularly in grid expansion upgrades and solar field construction with substantial growth over the past 15 years4 competitiveness our client offers full subcontractor abilities serving as a onestop shop for row construction including drilling5 family oriented embrace a closeknit company culture with easy access to the executive team through an open door policy6 career advancement potential benefit from the growth of the company with ample opportunities for career progression job summarythe director of human resources at our client is responsible for leading the human resources functions programs and staff this role involves ensuring that the company is resourced to effectively meet current and future workforce demands providing best in class benefits programs ensuring continuous improvement in hr systems and focusing on talent development to build and sustain a highperformance and positive culture the director of human resources acts as a key advisor to the leadership team and works collaboratively with all departments to ensure a commitment to safety professionalism and fair and consistent application of all policies essential duties and responsibilities align human resources functions to implement strategic initiatives and execute business plans oversee all human resources functions including recruitment retention employee relations datarecords management training  development performance management recognition policy and benefits ensure compliance with all laws rules and regulations relating to personnel practices lead and supervise the payroll and benefits staff conducting performance reviews and setting goals for the department foster a teambased work environment through proactive communication participation in meetings and development of collaborative relationships ensure compliance with statefederallocal regulationslaws including fmla cobra ada eeo i9s everify etc handle employee relations issues conduct investigations and make recommendations as warranted stay updated on effective human resources management principles and practices update and maintain the employee handbook and execute the random drug testing program in conjunction with vendors competency  ability effective communication skills for different types of audiences both verbally and in writing high level of attention to detail experienceeducationcertificationlicense bachelors degree and a minimum of eight years of human resources generalist experience preferably in construction or fieldbased industries valid drivers license with a good driving record what you need to succeed strong verbal and written communication skills drive for achieving results and ability to convey a sense of urgency when appropriate strong teambuilding organization and administration skills with attention to detail highly proficient in computer skills ability to demonstrate alignment with company culture and values experience managing multiple projectsjobs and working directly with clientsprospects excellent time and project management skills competent in conflict and crisis management ability to analyze situations identify problems exercise good judgment and utilize creativity in problemsolving ability to drive team development and motivate others to strive for success and excellence team player who can participate in planning processes and work with others to meet goals and objectives additional informationour client is a drugfree workplace preemployment drug testing is required the supreme group is an equal opportunity employer and believes that diversity and inclusion among its team is critical to its success join our client and be part of a company that values its employees offers exceptional benefits and provides opportunities for career growth and advancement apply now to become the director of human resources and contribute to the continued success of our client,"['human resources management', 'recruitment', 'employee relations', 'performance management', 'compliance with labor laws', 'data management', 'training & development', 'payroll management', 'project management', 'computer skills', 'communication', 'team building', 'attention to detail', 'problem solving', 'conflict management', 'leadership', 'time management', 'collaboration', 'motivation', 'adaptability']"
3905834061,hr,chief human resources officer,job title chief human resources officer chroindustry entertainment  media job descriptioneast 57th street partners is seeking an experienced and innovative chief human resources officer chro for a leading entertainment and media company this role is perfect for a strategic hr leader who has a passion for the dynamic world of entertainment and media and is skilled in managing diverse talent in a creative environment key responsibilitiesdevelop and execute a comprehensive human resources strategy aligned with the companys overall business objectives and creative culturelead all aspects of hr including talent acquisition development retention and succession planningfoster a positive and inclusive workplace culture that supports creativity collaboration and diversityimplement effective hr policies and practices to drive organizational performance and employee engagementoversee compensation and benefits strategies to attract and retain top talentwork closely with the executive team to support the companys growth and strategic initiativesmanage hr compliance and risk ensuring adherence to legal and regulatory requirementsqualificationsproven experience as a chro or senior hr leader preferably in the entertainment media or related creative industriesbachelors degree in human resources business administration or related field advanced degree or hr certification preferredstrong leadership and communication skills with a track record of building highperforming teamsexpertise in talent management organizational development and culture buildingknowledge of hr best practices and current legal and regulatory landscapescompensationcompetitive salary package with comprehensive benefits job title chief human resources officer chroindustry healthcare job descriptioneast 57th street partners is looking for a seasoned chief human resources officer chro for a fastgrowing healthcare company the ideal candidate will bring strategic hr leadership to a dynamic healthcare environment focusing on talent management and organizational excellence key responsibilitieslead the development and implementation of strategic hr initiatives that align with the companys mission and business goals in the healthcare sectoroversee all hr functions including workforce planning recruitment performance management employee development and retentioncreate and nurture a workplace environment that promotes employee wellbeing engagement and professional growthdevelop compensation benefits and wellness programs that support the unique needs of healthcare professionalscollaborate with executive leadership to drive change management and organizational developmentensure hr compliance with healthcare industry standards and regulationsqualificationsextensive experience in a senior hr role ideally in the healthcare industry or a related fieldbachelors degree in human resources business or related area masters degree or hr certification highly desirabledemonstrated ability in strategic hr planning talent management and organizational leadershipexcellent interpersonal and communication skills capable of engaging with a diverse workforceproficient in hr technology systems and datadriven hr analyticscompensationcompetitive salary with benefits and potential for performancebased incentives,"['talent management', 'organizational development', 'hr compliance', 'hr technology systems', 'data-driven hr analytics', 'compensation and benefits strategies', 'strategic hr planning', 'workforce planning', 'employee development', 'performance management', 'leadership', 'communication', 'collaboration', 'creativity', 'inclusivity', 'change management', 'employee engagement', 'problem solving']"
3906250451,hr,human resources generalist (hybrid role),description who we are avispl is a digital enablement solutions provider who transforms how people and technology connect to elevate experiences create new value and enable organizations to thrive and grow we are the largest provider of collaboration technology solutions which include our awardwinning managed services our highly certified industry experts and innovation leaders share a vision to help people work smarter and live better we believe that success starts with a sound team and that an inclusive and diverse workplace moves us all forward what youll do this position is primarily focused on supporting hr initiatives and strategies related to organizational development  change management daytoday responsibilities develops and executes effective change management strategies plans and materials to accelerate organizational effectivenessprovides input on processes and key functions and management that support business improvementscollaborates with internal organizations and managers to improve engagement and retention within the organization by and utilizing hr programs and toolsconduct employee investigations and assist managers with performance improvement plans and disciplinary actions as necessaryassist with employee onboarding and offboardingassist with compliance reportingprovide support to employees on various hrrelated topics and resolves issues that may ariseresponsible for assisting managers and employees with performance management goal setting and year end conversationsgather and analyze data for the purpose of improving organization performancemaintain employee files and recordsassist with employee exit interviews and develops programs to improve retentionresponsible for creating and revising job descriptionswork with finance accounting and payroll team on job code related issuescontribute to creating solutions for best practices initiatives in such areas as employment employee communications career development compensation and hris deliveryassist in the delivery of change management processes to positively impact organizational effectivenessresponds to general inquiries about human resources forms procedures and policiesprovides coaching and guidance to managers on organizational development related matters including organizational analysis strategy structure and key processes to support organizationalbusiness needsdevelops hr solutions by collecting and analyzing information recommending courses of actionassists in the development implementation and revision of policies and procedures as appropriatemaintain indepth knowledge of legal requirements related to daytoday management of employees reducing legal risks and ensuring regulatory compliance musthaves what were looking for exceptional strategic thinking and structured problem solving skillsability to negotiate conflict and maintain constructive working relationships with people at all levels of the organizationability to balance multiple tasks with changing prioritiesability to work and think independently and ensuring to meet deadlinesdemonstrated ability to maintain strict confidentiality and handle sensitive matters with discretionexcellent attention to detail and organizational skillsmust have clear and professional communication skills written and oral both internally and externallyproficient with microsoft office word excel outlookeffective communication and interaction with employees clients and colleagues and the ability to work effectively with all levels of the organizationdemonstrated customer service focus and client communication skills nicetohaves bachelors degree in business administration human resources or similar or related field preferredminimum of 3  5 years hr generalist experience with a strong focus on organizational development preferredphr certification a plusdemonstrated experience with hris systems preferredexperience in strategic planning and execution including diligence acquisition and integration a plusexperience operating in a multistate andor complex matrix business environment is desirable why youll like working here medical benefits including vision and dentalpaid holidays sick days and personal daysenjoyable and dynamic company culturetraining and professional development opportunities more about us avispl is an equal opportunityaffirmative action employer all qualified applicants will receive consideration for employment without regard to race color religion sex pregnancy sexual orientation gender identity national origin age protected veteran status disability status or membership in any other group protected by federal state or local law avispl is an aadisabledveteran protected employer vevraa federal contractor,"['microsoft office', 'data analysis', 'employee onboarding', 'strategic thinking', 'problem solving', 'time management', 'attention to detail', 'communication', 'customer service', 'interpersonal skills', 'independence', 'hris systems', 'organizational development', 'change management', 'compliance reporting', 'performance management', 'job description creation', 'employee investigations', 'conflict negotiation', 'confidentiality']"
3901389277,hr,human resources manager,job description  the hr manager will support company objectives and performance by proactively managing theworkforce with respect to all hrrelated issues this includes company hr policies procedures processes and best practices the hr manager should work proactively with all employees and functional areas to deliver valueadded services to employees and management reflective of the core values and business objectives of the organization this position will also oversee talent acquisition planning compliance benefits and other programs  this role requires daily presence onsite at the company headquarters with visits to branch offices in anaheim concord woodinville wa and future locations quarterly and as needed at other times while the hr manager role is not a remote work role remote work may be possible occasionally based on need dutiesresponsibilities generala proactively advise senior leadership in all areas of workforceemployee hr management to ensurecompliance with labor law and be a resource to themb adopt and act within the spirit of the company core values in all interactions with current employees former employees consultants vendors and other stakeholdersc maintain high ethical standards in all matters and confidentialityd explain and emphasize the importance of the company core values to all employment candidates and new hires by being an ambassador for their promotion and adoptione maintain the view that hr is a resource to help and support all employees in a positive proactive fair and even handed way and keep respect for others at the core of all interactions in doing sof act in every way possible to maintain positive employee relationsg hr strategic planning as a means to tailor hr services to a changing and growing environment recruiting onboarding  labor compliancea work with management to run an effective recruiting program with the goal of locating and hiring and retaining a qualified and effective workforceb applicant tracking and applicant tracking systems atsc manage the thorough onboarding of new employees working with management and supervisors as needed including benefits handbook policies timekeepingd provide guidance and support to all managers and supervisors in navigating labor compliancerequirements for prevailing wage workers union workers and other classese stay informed of trends and innovative recruiting techniques to be competitive in current recruiting practicesf create and execute a talent acquisition strategy aligned with companys business objectives and culture to meet rapid hiring goals with a focus on proactive sourcing such as social networking internet research cold calling networking at events and conferencesg manage recruiting agencies as needed policies  handbooksa maintain and update the employee handbookb provide direction to field staff on companyrelated policies and proceduresc be a resource to help employees locate requested info within the handbook or in systems resourcesd handle employee relations with all current and former employeese administer the implementation and maintenance of all hr policies includingi commute travel time  per diem policyii disciplinary policyiii vacation sick bereavement policyf communicate and implement new hr programs policies and updates as needed employee concernsa address employee concerns regarding compensation pay rate time off and personalinformationrecord updates payroll  relateda collaborate with payroll and accounting to ensure complete and accurate employee setup including employee title work class craft workers compensation classification and departmental codingb audit weekly payroll reports and follow up with corrective actions as needed to ensure payroll is in compliance with company policy and regulatory requirementsc ensure employee withheld amounts for 401k contributions and loans are remitted weeklyd ensure the accuracy of employee withheld amounts for benefits and other programs disciplinary  separationsa ensure the disciplinary policy is implemented with fairness respect with the goal of improvingperformance through necessary corrective actions and within the framework of company core valuesb ensure that disciplinary issues are documented adequately with appropriate materials reports notes photos statements and other documentation as neededc support the coordination of timely employee separations including all paperwork final pay system updates postseparation paperworkd ensure the recovery of all company property upon employee exit and separatione ensure to the greatest extent possible the minimization of wrongful dismissal and other employeeclaims employee benefitsa administers and communicate all employee benefit programs to include medical dental vision life minsurance add fsa 401k retirement plan and aflac benefit offeringsb review and ensure ics benefits programs are competitive costeffective and satisfy employee needsc partner with insurance brokers and carriers to resolve benefit issuesd manage webbased enrollments directly on the carrier portal and in the inhouse payroll system toensure timely membership id cards are processed and contribution deductions are set up in payrolle manage open enrollment and the daily administration of company benefits and retirement plans and utilize positive professional relationships with brokers carriers thirdparty administrators and colleagues to maximize a positive employee experiencef lead companywide benefit planprogram research analysis and projects collaborate with theleadership team to review changes or enhancements to ics benefits offeringsg coordinates with benefits vendors for timely processing billing and payment of monthly invoicesperform periodic audits as needed to keep enrollment census current and accurateh address employee questions and concerns regarding benefit plans in a timely manner8 benefits compliance  401k administrationa annual 401k retirement plan audits compliance testing and timely 5500 report filingb ensure 401k safeharbor mechanism is working accurately especially for fringe derived contributionsc compliance for group benefit plans including discrimination testing and required filings in collaborationwith ics consultants eeo compliance and reportinge pay data reporting for california civil rights department in compliance with sb11629 leave requests  fmla provide support for all aspects of leave accommodation and modified duty programs including fmla cfra pdl pfl adafeha including the interactive processb point of contact for all employee leave of absence requests from initial leave inquiry to completion of leave including managing required documentation such as leave eligibility letter designation andapproval letter extension letter leave exhaust letter and other related requirements as neededc ensure the appropriate vacation time accruals are accurately set at all times per employee tenure training  developmenta identify and provide training opportunities to all employees as neededb support efforts to implement paperless onboarding benefits management and other hris functions in the viewpoint vista erp system into usec support managers and supervisors in identifying and providing training for specific areas of concern to help close performance gapsd ensure that mandatory training is provided and documented timely to all such as harassment and workplace violence prevention health  safetya work interactively with the health and safety team in implementing the company safety programsinjury prevention and efforts to keep employees safeb support management of workers comp claims and related osha compliance when requested by the health and safety team knowledgeskillsabilities high level of accuracy and efficiency with attention to detail ability to be innovative and flexible to meet the challenges of a growing environment experience with erp  construction industry software ics employs viewpoint vista previous experience in managing group insurance benefits required intermediate to advanced level excel and other o365 tools as needed ability to work both independently and in a team setting ability to plan organize and schedule activities efficiently and productively take direction and keep a positive attitude in a busy environment strong communication skills and the ability to professionally collaborate understanding of proper safety procedures and recognizing hazards must be a team player and create a positive environment must be a selfstarter and motivated with a strong follow througheducationtrainingbachelors degree hr management or similar three to five years of experience in a role as hr manager three years construction or similar industry experience valid drivers license and reliable transportation proficiency with office 365 with emphasis on word excel powerpointpage 4 of 4 ability to work in a team environment ability to prioritize to meet deadlines and achieve goals effective oral and written communication skills strong leadership organizational and interpersonal skills attention to detail and discrepancy resolution ability to deal effectively and tactfully with a wide variety of personality types in persontelephone and in writing excellent customer relations skills with an always opendoor policy,"['hr management', 'talent acquisition', 'labor compliance', 'employee relations', 'benefits administration', 'payroll management', 'safety procedures', 'communication', 'leadership', 'teamwork', 'problem solving', 'organizational skills', 'attention to detail', 'flexibility', 'positive attitude', 'self-starter', 'erp software', 'excel', 'o365 tools', 'discrepancy resolution', 'customer relations']"
3902348043,hr,human resources generalist,drive your future with turn 14 distribution named sema channel partner of the year 2022 and sema wd of the year 2021 2018 2016 turn 14 distribution is always seeking great talent that will continue to elevate us as an industry leader position overviewwe are searching for a hr generalist who will be responsible for performing a broad range of human resources related duties for assigned warehouse operations and will work closely with other members of the hr team in support of the business operational needs of the organization duties include but are not limited to the following key duties include recruitment training and onboardingsupport the talent acquisition and recruitment process by assisting with the coordination of job posting reviewing resumes performing background and preplacement testing and conducting onsite interviewscoordinate the preparation of offer letters and other new hire materialslead new hire orientation and perform necessary onboarding tasks in the hris system ceridiandayforcework handson with leads supervisors assistant managers and managers to improve leadership skillsonboard coach and assist in developing associates at all levels in the warehouse to ensure productivity standards are consistently being met performance managementassist with the performance management process including but not limited to the evaluation process performance expectations the discipline process etcassist with employee relations and partner with the hr director on investigationrelated mattersconduct 90 day and annual checkin meetingsconduct exit interviews and job description review benefits administrationconduct onsite benefit meetings and assist with benefits initiativespartner with payroll on payrollrelated matters including audits etcpartner with benefits management on benefits administration and leave management mattersassist employees with enrollment as they become eligible for annual enrollment as requestedpartner with hr director on the completion of unemployment claims and unemployment hearings hris system ceridianassist colleagues with any issuesperform tasks to update employee information process job changes etc miscellaneousability to assist hr director with administration of onsite workers compensation claims and partner with the workers compensation adjuster on requested informationability to complete other job duties functions and projects as assignedfoster t14 cultureresearch organize and oversee teambuilding activities with an end goal to continually improve our work environment to drive a high level of employee engagementlive and demonstrate our core valuesliaison for onsite celebration committee requirementsbachelors degree in human resources psychology sociology business or related plus 12 years related experienceexperience providing hr support to a distribution center or manufacturing facility strongly preferredadvanced level of proficiency in microsoft programsexperience with ceridiandayforce preferred but not requiredknowledge of federal state and local laws affecting human resourcesknowledge of human resources processes and proceduresknowledge of benefits recruiting coordination and employee relationsexcellent written and verbal communication skills requiredstrong business ethics particularly regarding confidentialitystrong attention to detail and follow through skillsability to maintain a professional disposition and be courteousability to work in a diverse fastpaced environmentability to establish and maintain effective working relationships with employees peers management and customersability to collaborate cooperatively with other team membersability to manage stressful situations and conflicting prioritiesmust have high initiative and selfaccountabilityproficient time management skills working conditionsworks in a professional office environmentthe noise level in the work environment is usually moderaterole routinely uses standard office equipment such as laptop printer fax phone etcthis position may have to walkthrough the distribution facility to meet with employees tour the facility andor provide coaching training and development to employees there at every turnwe emphasize meaningful career development and growth through challenging employees with projects and supporting them with continued education and training we offer an evergrowing array of competitive benefits and compensation includingcompetitive pay structurecompanysponsored insurance medical dental flexible spending accounts anddependent care accountsgenerous paid time off and paid holidays401k matchtuition reimbursementcompanysponsored eventssubsidized part purchasing program we value all employees we believe we are one these beliefs extend to everyone we encounter clients customers vendors employees applicants enthusiasts and followers we offer career development through training opportunities including tuition reimbursement to further hone professional talents,"['microsoft office', 'communication', 'attention to detail', 'professionalism', 'recruitment', 'training', 'onboarding', 'performance management', 'hris (ceridian/dayforce)', 'benefits administration', 'knowledge of hr laws', 'employee relations', 'time management', 'teamwork', 'confidentiality', 'stress management', 'initiative', 'relationship building', 'collaboration']"
3906258424,hr,human resources information system specialist,the role of an hr information systems specialist is multifaceted involving a blend of human resources data analysis and technology the primary responsibility is to collaborate with human resources business leaders executives and it to understand business needs gather requirements and implement solutions this individual will collect compile and analyze hr data metrics and statistics and apply this data to make recommendations related to recruitment retention business operations and compliance the organization is going live on the adp hris platform on oct 1 2024  analyze hr data to identify trends patterns and insights work with hr and business leaders to configure the hris to address business needs provide recommendations for process improvements based on data analysis understand the impact of technology solutions on hr processes work closely with hr operations and it stakeholders to define business requirements develop simple and complex reporting based on business requirements implement and support hr systems and tools collect hr data from employees supervisors customers or other relevant individuals compile past data from employment records and exit interviews refer to larger databases like those that store government labor statistics work with multiple systems to compile and integrate system data develop optimal workflows within the systems clean data to eliminate any errors and create more meaningful analyses analyze data and by using various tools excel and programs based on metrics and analysis makes recommendations for policies and activities to improve the organizational culture including suggestions to attract and hire qualified candidates to motivate and retain employees address staffing issues and maintain legal compliance education  experience a relevant degree such as bachelors degree in fields like business computer science it human resources or accounting  finance or an equivalent level of experience education  experience a relevant degree such as bachelors degree in fields like business computer science it human resources or accounting  finance or an equivalent level of experience knowledgetraining direct experience with adp preferred other system experience would be considered human resource experience welcomedcomputer skills must be familiar with general use and functions of the computer such as usernames and password concepts internet email navigation of computer desktop or laptop including starting programs using files and windows effectively use navigation buttons and tool bars ability to selfmanage online hr services and online training programs visiting nurse health system provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race color religion age sex national origin disability status genetics protected veteran status sexual orientation gender identity or expression or any other characteristic protected by federal state or local laws,"['adp hris', 'reporting', 'data compilation', 'excel', 'technology solutions', 'compliance knowledge', 'collaboration', 'communication', 'problem solving', 'recommendation making', 'attention to detail', 'self-management', 'organizational skills', 'data analysis', 'hr data metrics', 'data cleaning', 'data integration', 'hris configuration', 'business requirements gathering', 'workflow development']"
3891070825,hr,human resources generalist,directhire 65000 salary the ideal candidate will be responsible for recruitment efforts new hire orientation and onboarding employee termination and company policy and procedure adherence in addition you will build strong relationships with our companys managers in order to help them with their human resource needs responsibilitiesoversee fullcycle of recruitment effortsdevelop and oversee new hire orientation onboarding efforts and employee termination processassist with payroll and benefits administrationensures compliance with company policies and procedures and legal responsibilities qualifications bachelors degree or equivalent experience in human resources in a manufacturing setting or related area2 years of experience working in human resourcesstrong interpersonal and communication skills,"['recruitment', 'payroll administration', 'compliance', 'human resources management', 'policy adherence', 'manufacturing hr experience', 'interpersonal skills', 'communication', 'relationship building', 'onboarding', 'employee termination', 'benefits administration']"
3901949090,hr,human resources project manager,hybrid roleonsite required to work onsite at office 12 daysweek up to 5 daysweek during busy periods in mayjunehours per week 3040 hours depending on workload must haves 5 yoe in hr project managementsmartsheets or similar tools creating hr training programs creating hr communications for enterprise organizations working with confidential information skill  experience required experience with hr project managementexperience managing complex employee events ability to work with senior leaders ability to work with highly confidential information description provide hr project management for an operating model transformation including employee events new team formation and engagement with leadersprovides project management and hr business partner staff support to optimize operating model transformation develop and maintain project documentation including project plans status reports issue logs and change control documentation development materials to support change management learning  development teaming and onboarding manage project risks and issues and develop mitigation strategies to ensure project success conduct regular meetings with project teams to provide updates on project status discuss challenges and make recommendations for improvement manages stakeholder expectations and provides guidance and advice throughout project duration fosters and maintains good relationships with hr colleagues to ensure that processes are maintained and supported following project completion other related duties as assigned nice to havesshrmcp certificationpmp certification,"['project documentation', 'communication', 'stakeholder management', 'relationship building', 'problem solving', 'team collaboration', 'leadership', 'adaptability', 'hr project management', 'smartsheets', 'creating hr training programs', 'creating hr communications', 'managing complex employee events', 'change management', 'risk management', 'pmp certification', 'shrm-cp certification', 'confidentiality']"
